"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 02- 18","57,400","56,200","57,800","56,100","237.89K","0.70%"
"2022- 02- 17","57,000","57,700","58,300","55,700","0.01K","-0.52%"
"2022- 02- 16","57,300","55,500","57,300","55,200","0.01K","5.52%"
"2022- 02- 15","54,300","55,500","55,900","54,000","200.59K","-1.27%"
"2022- 02- 14","55,000","54,100","56,500","54,000","296.03K","0.00%"
"2022- 02- 11","55,000","53,800","56,400","53,600","378.72K","0.55%"
"2022- 02- 10","54,700","56,600","57,400","54,300","0.42K","-2.84%"
"2022- 02- 09","56,300","57,500","57,600","55,900","276.39K","-0.53%"
"2022- 02- 08","56,600","55,200","58,700","55,200","983.21K","2.72%"
"2022- 02- 07","55,100","53,300","57,100","52,700","711.05K","1.85%"
"2022- 02- 06","54,100","54,100","54,100","54,100","","0.00%"
"2022- 02- 04","54,100","50,600","54,300","50,000","376.12K","6.92%"
"2022- 02- 03","50,600","50,000","52,300","49,900","0.06K","3.27%"
"2022- 01- 28","49,000","45,350","49,500","45,300","324.80K","8.17%"
"2022- 01- 27","45,300","47,650","47,900","45,300","0.03K","-5.03%"
"2022- 01- 26","47,700","49,150","49,500","47,150","265.72K","-2.95%"
"2022- 01- 25","49,150","50,000","51,300","48,950","272.34K","-1.70%"
"2022- 01- 24","50,000","50,700","51,300","49,800","197.87K","-2.91%"
"2022- 01- 21","51,500","50,100","51,900","49,900","328.80K","0.98%"
"2022- 01- 20","51,000","46,650","51,100","46,650","0.22K","8.74%"
"2022- 01- 19","46,900","48,600","48,900","46,350","0.00K","-4.38%"
"2022- 01- 18","49,050","49,200","50,500","49,050","0.00K","-0.41%"
"2022- 01- 17","49,250","49,200","50,100","49,150","0.06K","0.10%"
"2022- 01- 14","49,200","49,800","50,100","48,800","284.55K","-2.57%"
"2022- 01- 13","50,500","51,200","52,300","50,500","238.63K","-1.17%"
"2022- 01- 12","51,100","50,900","51,500","50,500","162.88K","1.79%"
"2022- 01- 11","50,200","51,000","51,500","49,600","242.83K","-1.57%"
"2022- 01- 10","51,000","51,500","51,500","49,750","0.10K","-1.54%"
"2022- 01- 09","51,800","51,800","51,800","51,800","","0.00%"
"2022- 01- 07","51,800","52,000","52,800","51,400","212.35K","0.39%"
"2022- 01- 06","51,600","52,600","53,400","51,200","0.10K","-3.73%"
"2022- 01- 05","53,600","55,000","55,100","53,000","326.46K","-2.19%"
"2022- 01- 04","54,800","56,600","56,600","54,200","0.28K","-2.66%"
"2022- 01- 03","56,300","56,200","56,800","55,700","169.10K","1.08%"
"2021- 12- 30","55,700","55,800","56,100","54,800","175.68K","-0.18%"
"2021- 12- 29","55,800","56,900","57,100","55,300","0.08K","-2.28%"
